Country Name,2015,2016,2017,2018,2019,2020,2021,2022,2023
Afghanistan,0.246706025,0.216929892,0.226011227,0.215877625,0.191490829,0.180555013,0.198267958,0.20355189,0.210043425
American Samoa,0.001891146,0.001914059,0.00193851,0.001964328,0.001991675,0.002009606,0.002031488,0.002068595,0.002104333
Australia,16.81820978,16.88676245,16.70572857,16.39235952,16.09880407,15.30333755,14.97648549,14.41042324,14.01467155
Bangladesh,0.53600763,0.584386984,0.622894753,0.645077045,0.655345934,0.616107742,0.695944755,0.732520444,0.727798394
Bhutan,1.761636903,1.897799873,2.047366223,2.362459675,2.568041798,2.255696709,2.411914753,2.467237109,2.526370671
Brunei Darussalam,17.44408023,18.47489499,18.18833011,18.34151801,17.17561218,22.1359219,21.57570713,20.7490612,21.17032611
Cambodia,0.544957,0.668090053,0.737163303,0.757988468,0.962005191,0.992486072,0.988405711,1.008881435,1.03134893
China,7.810149363,7.785797203,7.905034038,8.249747926,8.418138867,8.519901495,8.936542171,8.870590614,9.399266327
Fiji,1.759676369,1.731787294,1.904525561,2.011709806,2.096515572,2.114621028,2.212365729,2.326026569,2.391940659
French Polynesia,3.617930945,3.608808717,3.58852785,3.754266212,3.884831239,3.938984775,4.121990622,4.341638788,4.478546376
Guam,0.00121282,0.001826673,0.001834975,0.001844122,0.002472066,0.00246673,0.002443046,0.002421601,0.002402316
"Hong Kong SAR, China",6.068245717,6.144440204,5.969634259,5.911896519,5.794989278,4.699371742,4.73150234,4.44139067,4.600894362
India,1.70187478,1.713881972,1.789997318,1.871823689,1.830078925,1.653299904,1.802062141,1.92281182,2.054964313
Indonesia,1.957253132,1.916191466,2.003829799,2.2132714,2.338843803,2.162413586,2.237793601,2.355083578,2.398861052
Japan,9.716918225,9.701886273,9.591472136,9.299016647,8.998423792,8.491691813,8.632303061,8.071758552,7.587407788
Kiribati,0.533321919,0.572258141,0.655996674,0.660201173,0.67623728,0.674866573,0.695607469,0.722010593,0.734927941
"Korea, Dem. People's Rep.",1.280111514,1.404663479,2.850698333,2.561668406,2.818194066,2.6430967,2.183338445,2.258557107,2.432962513
"Korea, Rep.",12.59808424,12.8839107,13.00304617,12.99916538,12.5784611,11.84888626,12.19001004,11.37581528,11.09082679
Lao PDR,1.312535423,2.297200007,2.742048578,2.786472308,2.676274408,2.645846687,3.195489075,3.247900154,3.394758482
"Macao SAR, China",4.291180588,4.024061303,4.923658236,3.802549704,4.026785714,4.188065363,4.107985348,4.311678724,4.437831467
Malaysia,8.098172953,7.787692769,7.351561292,7.728767131,7.631655249,7.477034667,7.552400286,7.907148055,8.065851403
Maldives,3.709646529,3.910824979,4.004477544,4.501806176,5.065907232,5.003007261,5.103515617,5.305796919,5.468313327
Marshall Islands,0,0,0,0,0,0,0,0,0
"Micronesia, Fed. Sts.",0,0,0,0,0,0,0,0,0
Mongolia,5.954545695,6.188019124,6.691792766,7.154410167,7.751999665,6.765560513,7.343499399,7.540011672,8.076968928
Myanmar,0.38628821,0.446004264,0.650061476,0.640911802,0.652954682,0.654628004,0.596140244,0.602575076,0.616406039
Nauru,0,0,0,0,0,0,0,0,0
Nepal,0.26313965,0.385015994,0.4712034,0.530230232,0.473719634,0.56808237,0.562887002,0.579560737,0.603941173
New Caledonia,15.89091988,16.96651295,16.51266461,21.73653898,21.94523388,22.71479646,19.66137707,20.48529724,21.41856694
New Zealand,7.661929969,7.354807917,7.520047366,7.313553442,7.491685411,6.926643354,6.900318901,6.761686078,6.853228925
Northern Mariana Islands,0,0,0,0,0,0,0,0,0
Pakistan,0.820351031,0.893837153,0.955178532,0.891393768,0.862094996,0.946681903,0.988583071,0.897331151,0.810127105
Palau,67.26505346,64.29735349,67.16258702,69.07488492,71.26081582,71.74010791,74.7342968,78.72627963,81.2094545
Papua New Guinea,0.683144452,0.738697647,0.708650471,0.719600899,0.742303317,0.607503495,0.555114125,0.569685752,0.572859393
Philippines,1.074529342,1.136202587,1.254372781,1.290932531,1.334754958,1.211622667,1.287227915,1.321805599,1.403835119
Samoa,1.628985737,1.740057691,1.758878368,1.726546618,1.919153399,1.930698675,2.007213056,2.103957521,2.16188274
Singapore,9.970673904,9.449121794,10.13810318,9.61665469,9.801301606,9.476104272,10.21157533,9.89125109,9.643746975
Solomon Islands,0.521726891,0.488542058,0.485800791,0.499787759,0.494817667,0.491472106,0.503153066,0.518522122,0.523496728
Sri Lanka,0.939833095,1.107261068,1.091582727,1.014300877,1.099454204,1.010967654,1.025595775,0.900779947,0.931070472
Thailand,3.965614507,3.895124461,3.891777294,3.847028358,3.976937477,3.83072746,3.729278541,3.845649053,3.82358005
Timor-Leste,0.576866747,0.537974065,0.549890829,0.533167602,0.503172694,0.490101074,0.493134411,0.520048638,0.507770793
Tonga,1.269616853,1.357037262,1.678119898,1.490048974,1.788604037,1.818285022,1.910133662,2.024904324,2.103310802
Tuvalu,0,0,0,0,0,0,0,0,0
Vanuatu,0.598269078,0.609731446,0.681850007,0.870437041,0.845933866,0.839529141,0.860174977,0.887409518,0.896666448
Viet Nam,2.162230813,2.387814049,2.420792373,2.949586532,3.488039818,3.589588132,3.447766333,3.259415781,3.71639615
